0;100002617;100002617;Tp;1;Abudacnus, Josephus;;piz;Barbatus, Josephus | Abudacnus, Joseph | Barbatus, Joseph | Josephus <Barbatus> | Josephus <Abudacnus>
0;100002633;100002633;Tp;6;Abundius <Viennensis>;;piz;
0;100002706;100002706;Tp;3;Açarq, Jean P. d';;piz;
0;100002773;100002773;Tp;1;Accoltus, Benedictus;12.2p;piz;Accolti, Benedetto | Acolti, Benedictus de | Accoltis, Benedictus de | Accolti, Benoît | Accoltus Aretinus, Benedictus | Accolti Aretino, Benedetto | Benedetto <Accolti> | Benoît <Accolti> | Benoît <Accolti d'Arezzo> | Benoît <d'Arezzo> | Benedictus <Accolti> | Benedictus <Accolti Aretinus> | Benedictus <de Acoltis> | Accolti, Benedetto <il Vecchio> | Acoltis, Benedictus de | Aretinus, Benedictus | Benedictus <Aretinus> | Accolti, Benedetto
0;100002811;100002811;Tp;1;Accolti, Pietro;31.3p, 13.4p, 28p;piz;
0;100002854;100002854;Tp;6;Accursius <von Passau>;;piz;
0;100002994;100002994;Tp;1;Abela, Giovanni Francesco;;piz;Abela, Giovanfrancesco | Abela, Ioannes Franciscus | Abela, Johannes Franciscus | Abela, Joannes Franciscus
0;100003141;100003141;Tp;3;Achard, Claude-François;;piz;Achard, Claude François
0;100003184;100003184;Tp;6;Achatius <von Brandenburg>;;piz;Brandenburg, Achatius von | Brandenburg, Achaz von
0;100003400;100003400;Tp;1;Abildgaard, Søren Pedersen;23.4p, 13.4p;piz;Abildgaard, Sören | Pedersen Abildgaard, Søren
0;100003532;100003532;Tp;3;Acosta, Christóval;;piz;Acosta, Christobal | Costa, Christophorus à | Costa, Christóval à | Acosta, Cristóbal de | Costa, Christophoro a | Costa, Christophorus a | Costa, Christoforo a | La Coste, Christophle de | Costa, Cristóvão da | Acosta, Cristóval | Costa, Christovam da | Acosta, Christoforo | Acosta, Christoual | LaCoste, Christophle de
0;100003559;100003559;Tp;1;Costa, Emanuel;;piz;Acosta, Emanuel | Acosta, Emanuele | Costa, Manuel da | Costa, Manuel | Acosta, Manuel | Costa, Emmanuel a | Acosta, Emmanuel | Acosta, Manuel
0;100003591;100003591;Tp;1;Costa, Giovanni Battista;;piz;Costa, Johannes Baptista | Costa, Io. Baptista | Costa, Jo. Baptista | Costa, Ioannes Baptista | Costa, Joannes Baptista | Costa, Giambattista | Costa, Joannes Baptista a | Costa, Johannes Baptista a
0;100003729;100003729;Tp;1;Adalbertus <Monacensis>;;piz;Adalbertus
0;100003761;100003761;Tp;6;Adam <der Jüngere>;;piz;
0;100003818;100003818;Tp;6;Abram, Nicolas;;piz;Abraham, Nicolaus | Abraamus, Nicolaus | Abramus, Nicolaus | Abrahamus, Nicolaus | Abram, Nicolaus | Abraham, Nicolas
0;100003877;100003877;Tp;3;Alletz, Pons Augustin;;piz;Alletz, Pons-Augustin | Lesage, ... | M. A. de M. | Alletz, Ponce A. | Alletz, Pons-Auguste | Alletz, Pons A.
0;100003893;100003893;Tp;1;Adamantius <Alexandrinus>;;piz;Adamantius <aus Alexandrien> | Adamantios <Sophista> | Adamantius <Sophista> | Adamantius <Iudaeus> | Adamantius <Medicus> | Adamantius <Physiognomonicus> | Adamantios <Mediziner> | Adamantios <Arzt> | Adamantios <von Alexandria> | Adamantios <von Alexandreia>
0;100004075;100004075;Tp;6;Adarzo, Gabriel;;piz;Adarzo de Santander, Gabriel | Santander, Gabriel A. de
